SD,Gas,Coal,Nuclear,Hydro,Net Pumped,Wind,OCGT,Oil,Biomass,French Int,Dutch Int,NI Int,Eire Int,Nemo Int,Net Supply
2010-01-01,"418,674","232,291","191,982","4,641","-3,854","7,020",451,0,0,"45,222",0,"-8,521",0,0,"887,904"
2010-01-02,"456,961","274,253","191,019","4,826","-2,349","10,138",0,0,0,"6,373",0,"-7,737",0,0,"933,483"
2010-01-03,"464,772","278,136","190,175","4,123","-3,897","4,171",0,0,0,"18,786",0,"-6,051",0,0,"950,214"
2010-01-04,"482,219","474,204","191,406","4,703","-3,632","5,973",240,0,0,"-31,833",0,"-7,576",0,0,"1,115,702"
2010-01-05,"468,306","505,552","189,244","4,025","-2,957","12,493",0,"4,187",0,"-36,205",0,"-7,370",0,0,"1,137,275"
2010-01-06,"457,551","507,269","189,280","4,284","-3,457","9,459",0,0,0,"-38,593",0,"-7,065",0,0,"1,118,727"
2010-01-07,"470,772","532,580","195,375","4,630","-3,132","2,283",115,0,0,"-41,200",0,"-7,608",0,0,"1,153,815"
2010-01-08,"465,426","536,671","182,764","4,402","-1,397","2,663",109,"1,951",0,"-33,442",0,"-8,771",0,0,"1,150,374"
2010-01-09,"449,763","453,043","178,414","4,320","-5,927","2,731",0,755,0,"-35,123",0,"-5,228",0,0,"1,042,747"
2010-01-10,"383,138","477,441","178,712","4,748","-5,092","17,403",167,741,0,"-39,993",0,"-5,316",0,0,"1,011,947"
2010-01-11,"458,826","519,530","180,099","5,072","-3,800","18,644",266,"2,555",0,"-34,077",0,"-6,639",0,0,"1,140,474"
2010-01-12,"487,148","497,466","181,025","4,995","-9,526","25,461",125,0,0,"-41,790",0,"-6,745",0,0,"1,138,157"
2010-01-13,"528,197","448,453","191,446","5,013","-1,967","16,384",211,0,0,"-37,340",0,"-7,187",0,0,"1,143,208"
2010-01-14,"518,890","458,001","196,057","4,933","-1,437","7,555",0,0,0,"-35,557",0,"-9,245",0,0,"1,139,196"
2010-01-15,"494,472","416,714","196,569","5,172","-7,122","25,007",0,0,0,"-37,580",0,"-8,541",0,0,"1,084,690"
2010-01-16,"454,515","307,782","191,374","7,482","-1,531","19,429",0,0,0,739,0,"-7,867",0,0,"971,923"
2010-01-17,"434,348","256,679","200,115","7,097","-5,705","13,701",168,0,0,"22,442",0,"-6,792",0,0,"922,051"
2010-01-18,"490,056","381,466","201,207","9,211","-1,610","6,886",186,0,0,"-23,490",0,"-7,626",0,0,"1,056,284"
2010-01-19,"486,905","329,920","193,824","8,007","-2,402","13,152",110,0,0,"-16,415",0,"-7,905",0,0,"1,005,195"
2010-01-20,"513,849","362,306","205,953","7,862","-1,006","16,547",0,0,0,"-16,916",0,"-7,308",0,0,"1,081,286"
2010-01-21,"507,835","366,719","203,705","7,902","-2,909","20,203",0,0,0,"-20,533",0,"-6,781",0,0,"1,076,141"
2010-01-22,"479,505","386,169","195,954","7,709",-910,"8,247",0,0,0,"-16,476",0,"-8,690",0,0,"1,051,507"
2010-01-23,"470,603","291,230","191,535","7,447","-2,361","2,374",0,0,0,797,0,"-7,424",0,0,"954,200"
2010-01-24,"453,488","279,730","191,406","6,567","-7,305","4,107",113,0,0,"10,042",0,"-7,968",0,0,"930,179"
2010-01-25,"503,194","399,995","190,412","6,560","1,656","3,114",282,0,0,"-18,596",0,"-8,003",0,0,"1,078,613"
2010-01-26,"518,324","425,871","193,533","5,754","-8,170","8,103",135,0,0,"-33,876",0,"-7,500",0,0,"1,102,172"
2010-01-27,"481,213","428,288","194,976","8,399","-5,264","22,261",252,"1,509",0,"-37,360",0,"-7,618",0,0,"1,086,655"
